CODICE ATECO 2025;PREFLABEL_IT;PREFLABEL_EN;PREFLABEL_DE
95.25.00;Riparazione e manutenzione di orologi e gioielli;Repair and maintenance of watches, clocks and jewellery;Reparatur und Instandhaltung von Uhren und Schmuck
95.29;Riparazione e manutenzione di beni per uso personale e per la casa n.c.a.;Repair and maintenance of personal and household goods n.e.c.;Reparatur und Instandhaltung von Gebrauchsgütern a. n. g.
95.29.1;Riparazione e accordatura di strumenti musicali non storici;Repair and tuning of non-historical musical instruments;Reparatur und Stimmen von nicht-historischen Musikinstrumenten
95.29.10;Riparazione e accordatura di strumenti musicali non storici;Repair and tuning of non-historical musical instruments;Reparatur und Stimmen von nicht-historischen Musikinstrumenten
95.29.2;Riparazione e manutenzione di biciclette, articoli sportivi e attrezzature da campeggio;Repair and maintenance of bicycles, sporting goods and camping equipment;Reparatur und Instandhaltung von Fahrrädern, Sportgegenständen und Campingausrüstung
95.29.21;Riparazione e manutenzione di biciclette;Repair and maintenance of bicycles;Reparatur und Instandhaltung von Fahrrädern
95.29.22;Riparazione e manutenzione di articoli sportivi e attrezzature da campeggio;Repair and maintenance of sporting goods and camping equipment;Reparatur und Instandhaltung von Sportgegenständen und Campingausrüstung
95.29.3;Riparazione e modifica di articoli di abbigliamento;Repair and alteration of clothing;Änderungen und Reparatur von Bekleidungsstücken
95.29.30;Riparazione e modifica di articoli di abbigliamento;Repair and alteration of clothing;Änderungen und Reparatur von Bekleidungsstücken
95.29.9;Riparazione e manutenzione di altri beni per uso personale e per la casa n.c.a.;Repair and maintenance of other personal and household goods n.e.c.;Reparatur und Instandhaltung von anderen Gebrauchsgütern a. n. g.
95.29.91;Affilatura di coltelli, servizi di duplicazione di chiavi e di incisione rapida;Knife sharpening, key cutting activities and while-you-wait engraving;Schleifen von Messern, Schlüsseldienst und Schnellgravur
95.29.99;Riparazione e manutenzione di altri beni vari per uso personale e per la casa n.c.a.;Repair and maintenance of other various personal and household goods n.e.c.;Reparatur und Instandhaltung von allen anderen Gebrauchsgütern a. n. g.
95.3;Riparazione e manutenzione di autoveicoli e motocicli;Repair and maintenance of motor vehicles and motorcycles;Reparatur und Instandhaltung von Kraftwagen und Krafträdern
95.31;Riparazione e manutenzione di autoveicoli;Repair and maintenance of motor vehicles;Reparatur und Instandhaltung von Kraftwagen
95.31.1;Riparazione e manutenzione meccanica, elettrica ed elettronica di autoveicoli;Mechanical, electrical and electronic repair and maintenance of motor vehicles;Mechanische, elektrische und elektronische Reparatur und Instandhaltung von Kraftwagen
95.31.10;Riparazione e manutenzione meccanica, elettrica ed elettronica di autoveicoli;Mechanical, electrical and electronic repair and maintenance of motor vehicles;Mechanische, elektrische und elektronische Reparatur und Instandhaltung von Kraftwagen
95.31.2;Riparazione e manutenzione di carrozzerie di autoveicoli;Repair and maintenance of bodywork of motor vehicles;Reparatur und Instandhaltung von Kraftfahrzeugkarosserien
95.31.20;Riparazione e manutenzione di carrozzerie di autoveicoli;Repair and maintenance of bodywork of motor vehicles;Reparatur und Instandhaltung von Kraftfahrzeugkarosserien
95.31.3;Riparazione, montaggio o sostituzione di pneumatici e camere d'aria di autoveicoli;Repair, fitting or replacement service activities for tubes and tyres;Reparatur, Montage und Austausch von Reifen und Luftschläuchen von Kraftwagen
95.31.30;Riparazione, montaggio o sostituzione di pneumatici e camere d'aria di autoveicoli;Repair, fitting or replacement service activities for tubes and tyres;Reparatur, Montage und Austausch von Reifen und Luftschläuchen von Kraftwagen
95.31.9;Lavaggio e altre attività di riparazione e manutenzione di autoveicoli;Washing and other repair and maintenance of motor vehicles;Waschen und sonstige Reparatur und Instandhaltung von Kraftwagen
95.31.91;Lavaggio di autoveicoli;Washing of motor vehicles;Waschen von Kraftfahrzeugen
95.31.92;Riparazione e manutenzione di cellule abitative per caravan e autocaravan;Repair and maintenance of caravan and motorhome housing cells;Reparatur und Instandhaltung von Wohnwägen und Wohnmobilen
95.31.99;Altre attività di riparazione e manutenzione di autoveicoli n.c.a.;Other repair and maintenance of motor vehicles n.e.c.;Sonstige Reparatur und Instandhaltung von Kraftwagen a. n. g.
95.32;Riparazione e manutenzione di motocicli;Repair and maintenance of motorcycles;Reparatur und Instandhaltung von Krafträdern
95.32.0;Riparazione e manutenzione di motocicli;Repair and maintenance of motorcycles;Reparatur und Instandhaltung von Krafträdern
95.32.00;Riparazione e manutenzione di motocicli;Repair and maintenance of motorcycles;Reparatur und Instandhaltung von Krafträdern
95.4;Attività di servizi di intermediazione per la riparazione e la manutenzione di computer, beni per uso personale e per la casa, autoveicoli e motocicli;Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles;Vermittlungstätigkeiten für die Reparatur und Instandhaltung von Datenverarbeitungsgeräten und Gebrauchsgütern sowie von Kraftwagen und Krafträdern
95.40;Attività di servizi di intermediazione per la riparazione e la manutenzione di computer, beni per uso personale e per la casa, autoveicoli e motocicli;Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles;Vermittlungstätigkeiten für die Reparatur und Instandhaltung von Datenverarbeitungsgeräten und Gebrauchsgütern sowie von Kraftwagen und Krafträdern
95.40.0;Attività di servizi di intermediazione per la riparazione e la manutenzione di computer, beni per uso personale e per la casa, autoveicoli e motocicli;Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles;Vermittlungstätigkeiten für die Reparatur und Instandhaltung von Datenverarbeitungsgeräten und Gebrauchsgütern sowie von Kraftwagen und Krafträdern
95.40.00;Attività di servizi di intermediazione per la riparazione e la manutenzione di computer, beni per uso personale e per la casa, autoveicoli e motocicli;Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles;Vermittlungstätigkeiten für die Reparatur und Instandhaltung von Datenverarbeitungsgeräten und Gebrauchsgütern sowie von Kraftwagen und Krafträdern
96;Attività di servizi alla persona;Personal service activities;Erbringung von überwiegend persönlichen Dienstleistungen
96.1;Servizi di lavaggio e pulitura di prodotti tessili e pellicce;Washing and cleaning of textile and fur products;Wäscherei und chemische Reinigung
96.10;Servizi di lavaggio e pulitura di prodotti tessili e pellicce;Washing and cleaning of textile and fur products;Wäscherei und chemische Reinigung
96.10.1;Lavaggio e pulitura di prodotti tessili forniti da lavanderie industriali;Washing and cleaning of textile products for industrial or commercial clients;Wäscherei und chemische Reinigung von Textilien durch Großwäschereien
96.10.11;Lavaggio e pulitura di prodotti tessili forniti da lavanderie industriali per industrie, ospedali e altre strutture simili;Washing and cleaning of textile products for industries and hospitals;Wäscherei und chemische Reinigung von Textilien durch Großwäschereien für Industrie, Krankenhäuser und ähnliche Einrichtungen
96.10.12;Lavaggio e pulitura di prodotti tessili forniti da lavanderie industriali per ristorazione, alberghi e altri servizi di alloggio;Washing and cleaning of textile products for restaurants, hotels and similar accommodation;Wäscherei und chemische Reinigung von Textilien durch Großwäschereien für das Gastgewerbe
96.10.2;Lavaggio e pulitura di prodotti tessili e pellicce forniti da lavanderie e tintorie non industriali;Washing and cleaning of textile and fur products for the general public;Wäscherei und chemische Reinigung von Textilien und Pelzmänteln durch Wäschereien und Färbereien, ohne Großwäschereien
96.10.21;Lavaggio e pulitura di prodotti tessili e pellicce forniti da lavanderie e tintorie tradizionali;Non self-service washing and cleaning of textile and fur products for the general public;Wäscherei und chemische Reinigung von Textilien und Pelzmänteln durch herkömmliche Wäschereien und Färbereien
96.10.22;Lavaggio e pulitura di prodotti tessili e pellicce forniti da lavanderie self-service;Self-service washing and cleaning of textile and fur products for the general public;Wäscherei und chemische Reinigung von Textilien und Pelzmänteln durch Waschsalons
96.2;Servizi di parrucchieri e barbieri, trattamenti di bellezza, centri benessere e attività simili;Hairdressing, beauty treatment, day spa and similar activities;Frisör- und Kosmetiksalons, Day Spas u. Ä.
96.21;Servizi di parrucchieri e barbieri;Hairdressing and barber activities;Frisör- und Barbiersalons
96.21.0;Servizi di parrucchieri e barbieri;Hairdressing and barber activities;Frisör- und Barbiersalons
96.21.00;Servizi di parrucchieri e barbieri;Hairdressing and barber activities;Frisör- und Barbiersalons
96.22;Servizi di cura della bellezza e altri trattamenti di bellezza;Beauty care and other beauty treatment activities;Kosmetiksalons und ähnliche Schönheitsbehandlungen
96.22.0;Servizi di cura della bellezza e altri trattamenti di bellezza;Beauty care and other beauty treatment activities;Kosmetiksalons und ähnliche Schönheitsbehandlungen
96.22.01;Servizi di manicure e pedicure;Manicure and pedicure activities;Maniküre und Pediküre
96.22.09;Altri servizi di cura della bellezza e altri trattamenti di bellezza n.c.a.;Other beauty care and other beauty treatment activities n.e.c.;Sonstige Kosmetiksalons und ähnliche Schönheitsbehandlungen a. n. g.
96.23;Servizi di centri benessere, sauna e bagno di vapore;Day spa, sauna and steam bath activities;Day Spas, Saunas, Dampfbäder
